ACH3666 ; A Cidade Constitucional
EDM0416 ; Metodologia do Ensino de Linguas Orientais II
EDM0449 ; Metodologia do Ensino de Lingüística I
EDM0450 ; Metodologia do Ensino de Lingüística II
EDM0321 ; Metodologia do Ensino de Matemática
EDM0427 ; Metodologia do Ensino de Matemática I
EDM0428 ; Metodologia do Ensino de Matemática II
EDM0405 ; Metodologia do Ensino de Português I
EDM0406 ; Metodologia do Ensino de Português II
EDM0323 ; Metodologia do Ensino de Português: a Alfabetização
EDM0429 ; Metodologia do Ensino de Psicologia I
EDM0430 ; Metodologia do Ensino de Psicologia II
EDM0431 ; Metodologia do Ensino de Química I
EDM0432 ; Metodologia do Ensino de Quimica II
EDM0681 ; Metodologia e Fundamentos da Alfabetização em Países de Língua Oficial Portuguesa: uma introdução
EDM0675 ; Metodologia e Fundamentos da Alfabetização/ Letramento de Jovens e Adultos
EDF0681 ; Mídia e Educação: Um Debate Contemporâneo
PFU0003 ; Módulo I - 2. a Educação Continuada e o Processo de Construção da Identidade Profissional do Professor
PFU0004 ; Módulo I - 3. o Contexto da Formação/atuação Profissional: Primeiro Levantamento Diagnóstico dos Alunos, das Famílias, das Escolas e das Comunidades
PFU0005 ; Módulo I - 4. Fundamentos da Prática Educativa
PFU0006 ; Módulo II - 1. Reformas Educacionais e Mudanças Curriculares
PFU0015 ; Módulo II - 10. Oficinas Culturais (de 1 a 9)
PFU0016 ; Módulo II - 11. Oficinas Culturais 5 a 6
PFU0017 ; Módulo II - 12. Oficinas Culturais 7 a 9
PFU0007 ; Módulo II - 2. Fundamentos da Educação e da Ação Docente
PFU0008 ; Módulo II - 3. Fundamentos da Organização Escolar
PFU0009 ; Módulo II - 4. Alfabetização / Língua Portuguesa
PFU0010 ; Módulo II - 5. Matemática
PFU0011 ; Módulo II - 6. Natureza, Ciências, Meio Ambiente e Saúde
PFU0012 ; Módulo II - 7. Espaço, Tempo e Cultura: História, Geografia, Ética e Diversidade Cultural
PFU0013 ; Módulo II - 8. Arte e Educação
PFU0014 ; Módulo II - 9. Corpo, Movimento, Sexualidade e Saúde
PFU0018 ; Módulo III - 1. o Projeto Educacional e Autonomia da Escola
PFU0019 ; Módulo III - 2. Princípios da Organização do Currículo: Contextualização e Autonomia
PFU0001 ; Módulo Introdutório - Capacitação em Informática
EDF0694 ; Multiculturalismo e Educação: Introdução à Temática
EDF0717 ; Multiculturalismo na Educação
EDF0718 ; Multiculturalismo, Direitos Humanos e Educação: Temas Contemporâneos
EDM0678 ; Natureza, Cultura Científica e Educação
EDM0672 ; O Ensino e a Aprendizagem das Artes Visuais, Projeto Curricular e Projeto Político-pedagógico
EDF0664 ; O Pensamento de Rousseau em Educação
EDF0650 ; O Projeto Educativo de Platão
EDA0669 ; Paulo Freire - Teoria, Método e Práxis
EDF0719 ; Perspectiva Histórico-Cultural: Implicações para a Prática Pedagógica
4800702 ; Pesquisa Educacional: Questões Teórico-Metodológicas e Prática Pedagógica
4801702 ; Pesquisa Educacional: Questões Teórico-Metodológicas e Prática Pedagógica
EDA0221 ; Política e Organização da Educação Básica I - Poeb I
EDA1221 ; Política e Organização da Educação Básica I - Poeb I
EDA0222 ; Política e Organização da Educação Básica II - Poeb I I
EDA1222 ; Política e Organização da Educação Básica II - Poeb II
EDA0463 ; Política e Organização da Educação Básica no Brasil
EDA0698 ; Política Educacional e Diversidade
EDA0644 ; Políticas de Atendimento à Alunos com Necessidades Educacionais Especiais
EDA0692 ; Políticas Públicas de Educação de Jovens e Adultos
EDA0690 ; Políticas Sociais e Educação Especial: a Construção de Práticas Intersetoriais
EDF0711 ; Práticas Escolares e Discursos Psicológicos: Perspectivas Críticas
EDA0223 ; Programa Integrado de Estágio em Gestão, Política e Organização da Educação Brasileira
EDM0340 ; Projeto de Estágio em Docência em Educação Infantil
EDM0346 ; Projeto Integrado de Estágio em Docência em Ciências Humanas
4800707 ; Projeto Integrado de Estágio em Docência em Educação Especial
EDM0350 ; Projeto Integrado de Estágio em Docência em Linguagens
EDM0343 ; Projeto Integrado de Estágio em Docência em Matemática e Ciências
EDF0674 ; Psicanálise, Infância e Educação
EDF0296 ; Psicologia da Educação : Uma Abordagem Psicossocial do Cotidiano Escolar
EDF0118 ; Psicologia da Educação I (Teorias Psicogenéticas e Temáticas Educacionais Contemporâneas)
EDF0298 ; Psicologia da Educação, Desenvolvimento e Práticas Escolares
EDF0294 ; Psicologia da educação: constituição do sujeito, desenvolvimento e aprendizagem na escola,cultura e sociedade
EDF0690 ; Psicologia e Educação: Uma Abordagem do Cotidiano Escolar
EDF0292 ; Psicologia Histórico-Cultural e Educação
EDA0662 ; Relações de Gênero e Educação I: Trabalho, Educação e Gênero
EDA0663 ; Relações de Gênero e Educação II: Escola e Relações de Gênero
EDA0637 ; Seminários de Administração Escolar I
EDA0638 ; Seminários de Administração Escolar II
EDA0659 ; Seminários de Cultura Escolar I
EDA0660 ; Seminários de Cultura Escolar II
EDA0639 ; Seminários de Economia Política da Educação I
EDA0640 ; Seminários de Economia Política da Educação II
EDA0675 ; Seminários de Política Educacional I: Modalidades da Educação Básica
EDA0676 ; Seminários de Política Educacional II: Tópicos Atuais
EDF0695 ; Sociedade de Controle e Educação
EDF0113 ; Sociologia da Educação I
EDF0114 ; Sociologia da Educação II
EDF0206 ; Sociologia da Educação III (Sociedade, Política e Educação)
EDF0689 ; Teatro Grego e Educação
EDF0683 ; Temas Transversais em Educação
EDA0673 ; Teoria dos Campos Sociais:gênese e Estrutura
EDA0671 ; Teoria e Prática do Estatuto da Criança e do Adolescente na Educação
EDA0695 ; Teorias da Administração Escolar no Brasil
EDF0290 ; Teorias do desenvolvimento, Práticas Escolares e Processos de Subjetivação
EDM0689 ; Texto e Imagem: Literatura para Crianças na Escola
EDF0661 ; Tópicos de Psicologia Cultural
4800100 ; Trabalho Complementar de Curso
PFU0022 ; Trabalho de Conclusão de Curso
EDF0531 ; Uma Introdução a História do Século X X : Cultura e Educação
CAP0309 ; \\\Arte dos anos 1960 à atualidade: explorando fronteiras de linguagem\\\
CJE0667 ; A Prosa de José Saramago
CAC0352 ; Ação Cultural em Teatro
CAC0572 ; Acão Cultural em Teatro
CBD0289 ; Administração de Recursos e Produtos de Informação
CTR0669 ; Administração e Produção Audiovisual I
CTR0699 ; Administração e Produção Audiovisual II
CTR0715 ; Administração e Produção Audiovisual III
CRP0354 ; Administração em Publicidade
CRP0439 ; Administração Financeira e Orçamentária Aplicada ao Turismo
CRP0484 ; Agências de Turismo
CTR0672 ; Análise da Produção Audiovisual Contemporânea
CJE0573 ; Análise de Projetos Editoriais - Livros Paradidáticos
CAP0222 ; Análise e Exercício de Técnicas de Materiais Expressivos I (introdução à Cerâmica)
CAP0224 ; Análise e Exercício de Técnicas de Materiais Expressivos II (Introdução à Gravura: Xilogravura)
CAP0225 ; Análise e Exercício de Técnicas de Materiais Expressivos III (introdução à Escultura)
CAP0246 ; Análise e Exercício de Técnicas de Materiais Expressivos IV (introdução à Pintura)
CRP0297 ; Análise e Planejamento Mercadológico
CMU0546 ; Análise e Produção de Materiais Didáticos
CMU0547 ; Análise e Produção de Materiais Didáticos II
CRP0469 ; Análise Estrutural do Turismo
CRP0479 ; Análise Macroeconômica do Turismo
CRP0474 ; Análise Microeconômica do Turismo
CMU0366 ; Análise Musical I
CMU0367 ; Análise Musical II
CMU0510 ; Análise Musical III
CMU0838 ; Apreciação Musical
CMU0571 ; Apreciação Musical I
CMU0572 ; Apreciação musical II
CRP0335 ; Arte Publicitária
CCA0293 ; Arte, Estética e Ação Educativa
CAP0306 ; Arte, Experiência e Processos de Criação
CAP0307 ; Arte/Educação e o Terceiro Setor
CAP0308 ; Arte/Educação em Museus e Exposições
CJE0638 ; Aspectos da Cultura e da Literatura Portuguesa
CMU0667 ; Aspectos da Música Popular Brasileira I
CMU0685 ; Aspectos da Música Popular Brasileira II
CRP0505 ; Aspectos Teóricos da Comunicação Digital
CAC0646 ; Ateliê I
CCA0298 ; Atividades Acadêmicas, Científicas e Culturais I
CCA0299 ; Atividades Acadêmicas, Científicas e Culturais II
CCA0300 ; Atividades Acadêmicas, Cientificas e Culturais III
CCA0301 ; Atividades Acadêmicas, Cientificas e Culturais IV
CAP0294 ; Atividades Acadêmico-Científico Culturais I
CAP0295 ; Atividades Acadêmico-Científico Culturais II
CAP0296 ; Atividades Acadêmico-Científico Culturais III
CAP0297 ; Atividades Acadêmico-Científico Culturais IV
CAP0298 ; Atividades Acadêmico-Científico Culturais V
CAC0405 ; Atividades Acadêmico-Científico-Culturais I
CAC0576 ; Atividades Acadêmico-Científico-Culturais I
CMU0582 ; Atividades Acadêmico-Científico-Culturais I
CAC0406 ; Atividades Acadêmico-Científico-Culturais II
CAC0610 ; Atividades Acadêmico-Científico-Culturais II
CMU0583 ; Atividades Acadêmico-Científico-Culturais II
CAC0407 ; Atividades Acadêmico-Científico-Culturais III
CAC0613 ; Atividades Acadêmico-Científico-Culturais III
CMU0584 ; Atividades Acadêmico-Científico-Culturais III
CAC0408 ; Atividades Acadêmico-Científico-Culturais IV
CMU0585 ; Atividades Acadêmico-Científico-Culturais IV
CAC0409 ; Atividades Acadêmico-Científico-Culturais V
CMU0586 ; Atividades Acadêmico-Científico-Culturais V
2700300 ; Atividades Práticas no Exterior
CAC0567 ; Atuação I
CAC0605 ; Atuação II
CAC0607 ; Atuação III
CAC0630 ; Atuação IV
CBD0277 ; Biblioteca com Função Educativa: a Criança e o Jovem
CBD0185 ; Biblioteca, Informação e Sociedade
CAC0606 ; Canto
CMU0613 ; Canto Complementar I
CMU0614 ; Canto Complementar II
CMU0615 ; Canto Complementar III
CMU0616 ; Canto Complementar IV
CMU0430 ; Canto Coral I
CMU0431 ; Canto Coral II
CMU0432 ; Canto Coral III
CMU0433 ; Canto Coral IV
CMU0438 ; Canto Coral IX
CMU0434 ; Canto Coral V
CMU0435 ; Canto Coral VI
CMU0436 ; Canto Coral VII
CMU0437 ; Canto Coral VIII
CMU0439 ; Canto Coral X
CMU0402 ; Canto I
CMU0403 ; Canto II
CMU0406 ; Canto III
CMU0407 ; Canto IV
CAC0270 ; Canto Para o Ator
CMU0416 ; Canto V
CMU0417 ; Canto VI
CMU0422 ; Canto VII
CMU0423 ; Canto VIII
CAC0391 ; Cenografia I
CAC0563 ; Cenografia I
CAC0615 ; Cenografia II
CAC0393 ; Cenografia III
CAC0618 ; Cenografia III
CAC0394 ; Cenografia IV
CAC0633 ; Cenografia IV
CAC0619 ; Cenotecnia
CAC0397 ; Cenotécnica
CAP0223 ; Cerâmica I
CAP0289 ; Cerâmica II
CRP0444 ; Ciência Política\\n\\n
CJE0623 ; Ciências da Linguagem - Fundamentos das Práticas Midiáticas III
CJE0585 ; Ciências da Linguagem: Das Narrativas
CJE0586 ; Ciências da Linguagem: Dos Discursos
CMU0739 ; Clarinete I
CMU0740 ; Clarinete II
CMU0741 ; Clarinete III
CMU0742 ; Clarinete IV
CMU0743 ; Clarinete V
CMU0744 ; Clarinete VI
CMU0745 ; Clarinete VII
CMU0746 ; Clarinete VIII
CMU0536 ; Colaboração Pianística: Técnicas, Prática e Repertório I
CMU0589 ; Colaboração Pianística: Técnicas, Prática e Repertório II
CAP0206 ; Composição e Cor
CMU0344 ; Composição I
CMU0345 ; Composição II
CMU0346 ; Composição III
CMU0401 ; Composição IV
CMU0527 ; Composição V
CMU0528 ; Composição VI
CAP0288 ; Computação Gráfica
CTR0710 ; Comunicação Audiovisual na Educação
CCA0259 ; Comunicação Comparada
CRP0420 ; Comunicação Digital
CRP0428 ; Comunicação Digital e as Novas Mídias
CRP0458 ; Comunicação Integrada e Eventos em Turismo
CRP0449 ; Comunicação Interativa e o Texto Eletrônico-digital
CRP0387 ; Comunicação Organizacional
CRP0441 ; Comunicação Pública
CRP0450 ; Comunicação Visual nas Organizações
CCA0269 ; Comunicação, Culturas e Diversidades Étnico-Sociais
CCA0278 ; Comunicação, Subjetividade e Representações
CJE0563 ; Conceitos e Gêneros do Jornalismo
CMU0548 ; Conceitos Fundamentais da Música I
CMU0549 ; Conceitos Fundamentais da Música II
CAP0292 ; Construções Tridimensionais no Ensino Fundamental e Médio - do relevo ao volume
CMU0306 ; Contraponto I
CMU0552 ; Contraponto I
CMU0307 ; Contraponto II
CMU0560 ; Contraponto II
CMU0308 ; Contraponto III
CMU0309 ; Contraponto IV
CAC0268 ; Corpo e Movimento III
CAC0273 ; Corpo e Movimento IV
CAC0350 ; Corpo e Movimento V
CAC0351 ; Corpo e Movimento VI
CMU0408 ; Criação Musical I
CMU0409 ; Criação Musical II
CMU0420 ; Criação Musical III
CMU0421 ; Criação Musical IV
CJE0394 ; Critérios de Seleção - Prosa de Ficção
CTR0691 ; Crítica do Audiovisual
CAC0383 ; Crítica Teatral I
CAC0625 ; Crítica Teatral I
CAC0384 ; Crítica Teatral II
CAC0626 ; Crítica Teatral II
CCA0311 ; Cultura Africana e Afro-Brasileira
CCA0188 ; Cultura Brasileira
2700600 ; Cultura Brasileira para estrangeiros
CJE0395 ; Cultura e Literatura Brasileira: Colônia
CJE0396 ; Cultura e Literatura Brasileira: Império
CJE0610 ; Cultura e Literatura Brasileira: República
CBD0283 ; Cultura e Política Cultural
CAC0385 ; Dança Contemporânea I
CAC0623 ; Dança Contemporânea I
CAC0386 ; Dança Contemporânea II
CAC0624 ; Dança Contemporânea II
CAC0403 ; Dança Contemporânea III
CAC0502 ; Dança Contemporânea III
CAC0404 ; Dança Contemporânea IV
CAC0503 ; Dança Contemporânea IV
CAC0395 ; Desenho e Materiais Cenográficos I
CAC0396 ; Desenho e Materiais Cenográficos II
CAP0208 ; Desenho Geométrico
CRP0465 ; Design da Publicidade
CJE0642 ; Design de Interação para Editoração
CJE0645 ; Design do Livro Digital: paradigmas e tecnologias
CJE0621 ; Design Editorial I
CJE0606 ; Design Editorial II
CMU0609 ; Didática de Instrumentos I
CMU0610 ; Didática de Instrumentos II
CRP0466 ; Dimensão e Dinâmica do Turismo
CRP0475 ; Dimensão Espacial do Turismo I
CRP0480 ; Dimensão Espacial do Turismo II
CTR0706 ; Direção de Arte
CTR0696 ; Direção de Atores I
CTR0807 ; Direção de atores II
CTR0660 ; Direção I
CTR0698 ; Direção II
CTR0698 ; Direção II
CTR0714 ; Direção III
CAC0374 ; Direção Teatral I
CAC0571 ; Direção Teatral I
CAC0376 ; Direção Teatral II
CAC0621 ; Direção Teatral II
CAC0378 ; Direção Teatral III
CAC0622 ; Direção Teatral III
CAC0631 ; Direção Teatral IV
CBD0268 ; Documentação Audiovisual
CBD0229 ; Documentação e Informática
CTR0662 ; Documentário I
CTR0667 ; Documentário II
CJE0604 ; Documentários
CBD0297 ; Domínios conceituais na Organização do Conhecimento
CTR0661 ; Dramaturgia Audiovisual
CAC0298 ; Dramaturgia I
CAC0568 ; Dramaturgia I
CAC0641 ; Dramaturgia I
CAC0261 ; Dramaturgia II
CAC0620 ; Dramaturgia II
CAC0598 ; Dramaturgia III
CRP0448 ; Ecologia e Comunicação Mercadológica
CJE0432 ; Economia da Mídia
CTR0806 ; Economia do Audiovisual Internacional
CJE0564 ; Edição de Imagem em Revistas
CJE0383 ; Edição de Livros Didáticos e Paradidáticos
CJE0636 ; Edição de Livros Escolares I
CJE0643 ; Edição de Livros Escolares II
CJE0561 ; Edição de Texto em Revistas
CJE0539 ; Editoração em História-em-quadrinhos
CMU0675 ; Educação Musical e Processos de Criação
CCA0297 ; Educomunicação nas Organizações da Sociedade Civil
CCA0320 ; Educomunicação Socioambiental
CRP0487 ; Elementos de Estatística no Turismo
CJE0589 ; Elementos de Fotojornalismo
CBD0260 ; Elementos de Lógica para Documentação
CCA0283 ; Elementos Filosóficos para a Educomunicação
CRP0305 ; Empreendedorismo e Assessoria de Relações Públicas
CJE0656 ; Empreendedorismo em Jornalismo
CBD0298 ; English for Academic Purposes & Information Literacy
CRP0460 ; Entretenimento e Turismo
CRP0461 ; Epistemologia do Conhecimento em Turismo
CAP0226 ; Escultura I
CAP0227 ; Escultura II
CJE0597 ; Especialização em Jornalismo: Livro- Reportagem
CJE0647 ; Estágio Supervisionado
CTR0675 ; Estágio Supervisionado
CJE0653 ; Estágio Supervisionado em Jornalismo I
CJE0664 ; Estágio Supervisionado em Jornalismo I
CJE0659 ; Estágio Supervisionado em Jornalismo II
CJE0665 ; Estágio Supervisionado em Jornalismo II
CRP0342 ; Estágio Supervisionado em Turismo
CRP0483 ; Estágio Supervisionado em Turismo
CBD0273 ; Estágio Supervisionado em Unidades de Informação
CCA0272 ; Estética e História da Arte I
CCA0273 ; Estética e História da Arte II
CTR0665 ; Estética e Teoria do Audiovisual I
CTR0680 ; Estética e Teoria do Audiovisual II
CRP0421 ; Estética em Publicidade
CMU0688 ; Estética Musical
CAC0642 ; Estética, Teoria e Crítica das Artes Cênicas I
CRP0442 ; Estratégias de Relacionamento com a Mídia
CRP0292 ; Estudo da Defesa do Consumidor
CJE0614 ; Estudo de Caso - Imprensa Diária
CJE0619 ; Estudo de Caso - o Telejornalismo
CJE0632 ; Estudo de Caso: Jornalismo em Televisão
CBD0244 ; Estudo de Usuários da Informação
CRP0359 ; Estudo do Comportamento do Consumidor I
CRP0360 ; Estudo do Comportamento do Consumidor II
CAP0302 ; Estudos da Descolonização: Origem, Formação, Desmanche (do Século XV à Atualidade)
CMU0509 ; Estudos de Repertório Coral
CMU0853 ; Estudos Especiais I
CJE0615 ; Ética
CRP0482 ; Ética e Legislação do Turismo
CRP0417 ; Ética e Legislação em Comunicação Social e Relações Públicas
CRP0322 ; Ética e Legislação Publicitária
CAP0180 ; Evolução das Artes Visuais I
CAP0181 ; Evolução das Artes Visuais II
CAP0182 ; Evolução das Artes Visuais III
CAP0183 ; Evolução das Artes Visuais IV
CMU0463 ; Expressão Corporal para Cantores I
CMU0464 ; Expressão Corporal para Cantores II
CTR0652 ; Expressão Por Imagens e Sons
CTR0657 ; Expressão Por Imagens e Sons II
CMU0755 ; Fagote I
CMU0756 ; Fagote II
CMU0757 ; Fagote III
CMU0758 ; Fagote IV
CMU0759 ; Fagote V
CMU0760 ; Fagote VI
CMU0761 ; Fagote VII
CMU0762 ; Fagote VIII
CJE0518 ; Filosofia
CCA0280 ; Filosofia da Comunicação
CTR0808 ; Finalização Audiovisual
CRP0471 ; Finanças Aplicadas aoTurismo
CMU0706 ; Flauta I
CMU0707 ; Flauta II
CMU0708 ; Flauta III
CMU0709 ; Flauta IV
CMU0710 ; Flauta V
CMU0711 ; Flauta VI
CMU0712 ; Flauta VII
CMU0713 ; Flauta VIII
CAC0561 ; Folclore Brasileiro
CMU0388 ; Folclore Brasileiro: Etnomusicologia
CMU0683 ; Fonética Aplicada ao Canto I
CMU0684 ; Fonética Aplicada ao Canto II
CAP0207 ; Forma Tridimensional
CBD0282 ; Formas, Estados e Processos da Cultura na Atualidade
CAP0261 ; Fotografia
CAP0301 ; Fotografia Digital
CRP0422 ; Fotografia Digital
CJE0591 ; Fotografia e Imagem em Editoração
CMU0529 ; Fundamentos da Acústica Musical I
CMU0530 ; Fundamentos da Acústica Musical II
CAP0286 ; Fundamentos da Aprendizagem Artística
CMU0542 ; Fundamentos da Educação Musical
CCA0279 ; Fundamentos da Expressão e Comunicação Humanas
CRP0453 ; Fundamentos da Hospitalidade
CAP0148 ; Fundamentos da Linguagem Visual I
CAP0149 ; Fundamentos da Linguagem Visual II
CJE0506 ; Fundamentos de Economia
CCA0258 ; Fundamentos de Sociologia Geral e da Comunicação
CJE0635 ; Fundamentos do Jornalismo
CRP0467 ; Fundamentos do Lazer
CBD0223 ; Fundamentos em Biblioteconomia, Documentação e Ciência da Informação
CCA0287 ; Fundamentos Epistemológicos da Educomunicação
CRP0452 ; Fundamentos para a Gestão de Organizações Turísticas
CJE0510 ; Fundamentos Teóricos da História
CCA0322 ; Gênero, Mídia e Educação
CCA0307 ; Gestão da Comunicacão no Âmbito dos Espaços Educativos com Estagio Supervisionado
CRP0456 ; Gestão Estratégica de Organizações no Turismo
CRP0445 ; Gestão Estratégica de Projetos de Relações Públicas
CTR0692 ; Grafismo Eletrônico
CAP0232 ; Gravura I (metal)
CAP0233 ; Gravura II (serigrafia)
CAP0234 ; Gravura III (litografia)
CMU0389 ; Grupo de Percussão I
CMU0390 ; Grupo de Percussão II
CMU0230 ; Harmonia I
CMU0550 ; Harmonia I
CMU0231 ; Harmonia II
CMU0551 ; Harmonia II
CMU0232 ; Harmonia III
CMU0587 ; Harmonia III
CMU0233 ; Harmonia IV
CMU0588 ; Harmonia IV
CMU0245 ; História  da Musica VI
CAP0283 ; História da Arte I
CAP0252 ; História da Arte II
CAP0178 ; História da Arte no Brasil I
CAP0179 ; História da Arte No Brasil II
CAC0564 ; História da Cenografia e Indumentária
CAC0203 ; História da Cenografia e Indumentária I
CAC0205 ; História da Cenografia e Indumentária II
CJE0499 ; História da Ciência
CCA0203 ; História da Cultura e da Comunicação I
CCA0204 ; História da Cultura e da Comunicação II
CJE0639 ; História da Leitura
CMU0347 ; História da Música I
CMU0677 ; História da Música I
CMU0349 ; História da Música II
CMU0678 ; História da Música II
CMU0350 ; História da Música III
CMU0679 ; História da Música III
CMU0351 ; História da Música IV
CMU0680 ; História da Música IV
CMU0244 ; História da Música V
CMU0452 ; História da Ópera I
CMU0453 ; História da Ópera II
CAC0548 ; História das Artes Cênicas I
CAC0549 ; História das Artes Cênicas II
CAC0575 ; História das Artes Cênicas III
CTR0651 ; História do Audiovisual Brasileiro I
CTR0656 ; História do Audiovisual Brasileiro II
CTR0694 ; História do Audiovisual Brasileiro III
CTR0650 ; História do Audiovisual I
CTR0655 ; História do Audiovisual II
CTR0679 ; História do Audiovisual III
CTR0695 ; História do Audiovisual IV
CAP0284 ; História do Ensino da Arte no Brasil I
CAP0285 ; História do Ensino da Arte no Brasil II
CJE0469 ; História do Jornalismo I
CJE0442 ; História do Jornalismo II
CJE0249 ; História do Livro
CJE0625 ; História do Livro no Brasil
CJE0517 ; História do Pensamento Político
CMU0520 ; História do Repertório Coral: Criação, Interpretação e Recepção
CAC0238 ; História do Teatro III
CAC0239 ; História do Teatro IV
CRP0388 ; Identidade Corporativa e Cultura Organizacional
CAC0375 ; Iluminação I
CAC0570 ; Iluminação I
CAC0377 ; Iluminação II
CAC0614 ; Iluminação II
CAP0305 ; Imagem e Superfície
CTR0713 ; Imagem I
CTR0658 ; Imagem II
CTR0663 ; Imagem III
CTR0701 ; Imagem IV
CTR0685 ; Imagem V
CBD0284 ; Indexação: Teoria e Métodos
CAC0398 ; Indumentária
CAC0616 ; Indumentária
CBD0285 ; Infoeducação: teoria e prática
CJE0661 ; Infografia em narrativas visuais em jornalismo
CBD0264 ; Informação, Ciência e Tecnologia
CBD0295 ; Informação, Conhecimento e Cultura
CBD0291 ; Informação, Meio Ambiente e Sustentabilidade
CMU0526 ; Inglês Instrumental I
CMU0537 ; Inglês Instrumental II
CBD0251 ; Inglês Instrumental para Comunicações I
CBD0252 ; Inglês Instrumental para Comunicações II
CAP0282 ; Instalação
CMU0426 ; Instrumentação e Orquestração I
CMU0427 ; Instrumentação e Orquestração II
CMU0342 ; Instrumentação e Orquestração III
CMU0343 ; Instrumentação e Orquestração IV
CMU0578 ; Instrumento complementar I
CMU0579 ; Instrumento complementar II
CMU0272 ; Instrumento I
CMU0273 ; Instrumento II
CMU0274 ; Instrumento III
CMU0275 ; Instrumento IV
CMU0276 ; Instrumento V
CMU0277 ; Instrumento VI
CMU0278 ; Instrumento VII
CMU0279 ; Instrumento VIII
CTR0805 ; Interfaces Audiovisuais
CAC0371 ; Interpretação I
CAC0373 ; Interpretação II
CAC0380 ; Interpretação III
CAC0379 ; Interpretação IV
CBD0288 ; Introdução à Administração de Serviços de Informação
CRP0529 ; Introdução a Análise de Dados Quantitativos Aplicados a Comunicação e Publicidade
CBD0294 ; Introdução à Análise Documentária
CTR0659 ; Introdução à Animação
CJE0393 ; Introdução à Ecdótica
CJE0626 ; Introdução à Editoração
CTR0716 ; Introdução a Iconomia
CBD0247 ; Introdução a Museologia
CBD0164 ; Introdução à Organização de Arquivos
CBD0275 ; Introdução à Pesquisa em Ciência da Informação
CMU0618 ; Introdução à Retórica da Música Setecentista
CBD0276 ; Introdução à Terminologia Aplicada à Documentação
CRP0492 ; Introdução ao Trabalho de Campo em Turismo
CBD0279 ; Introdução ao Uso dos Metadados no Ambiente das Unidades de Informação
CTR0801 ; Introdução às Práticas Audiovisuais
CAC0552 ; Jogos Teatrais I
CAC0556 ; Jogos Teatrais II
CJE0551 ; Jornalismo Científico
CJE0523 ; Jornalismo Comparado
CJE0616 ; Jornalismo das Grandes Reportagens
CJE0637 ; Jornalismo e Cultura: Inter-relações e Confluências
CJE0575 ; Jornalismo e Saúde: A Experiência Brasileira
CJE0489 ; Jornalismo Econômico
CJE0576 ; Jornalismo em Agribusiness e Meio Ambiente no Brasil
CJE0634 ; Jornalismo Esportivo - a pauta além do futebol
CJE0600 ; Jornalismo no Rádio e na TV
CJE0655 ; Jornalismo Organizacional
CJE0633 ; Jornalismo Popular e Comunitário
CJE0660 ; Jornalismo visual: fotojornalismo e design da notícia
CAP0200 ; Laboratório de Artes Plásticas I (desenho de Observação)
CAP0201 ; Laboratório de Artes Plásticas II (desenho da Figura Humana)
CAP0202 ; Laboratório de Artes Plásticas III (desenho da Paisagem)
CAP0203 ; Laboratório de Artes Plásticas IV ( Os Papéis do Desenho)
CMU0553 ; Laboratório de Educação Musical I
CMU0554 ; Laboratório de Educação Musical II
CMU0555 ; Laboratório de Educação Musical III
CMU0556 ; Laboratório de Educação Musical IV
CMU0557 ; Laboratório de Educação Musical V
CMU0558 ; Laboratório de Educação Musical VI
CJE0649 ; Laboratório de Fotojornalismo
CAP0287 ; Laboratório de História, Crítica e Teoria da Arte
CTR0700 ; Laboratório de Imagem
CJE0587 ; Laboratório de Iniciação em Jornalismo - Jornal Comunitário
CMU0840 ; Laboratório de Interpretação e Criação Musical Contemporânea I
CMU0842 ; Laboratório de Interpretação e Criação Musical Contemporânea II
CMU0843 ; Laboratório de Interpretação e Criação Musical Contemporânea III
CMU0844 ; Laboratório de Interpretação e Criação Musical Contemporânea IV
CJE0590 ; Laboratório de Jornalismo - Agência de Notícias
CJE0602 ; Laboratório de Jornalismo - Jornal do Campus
CJE0601 ; Laboratório de Jornalismo - Revista
CJE0524 ; Laboratório de Jornalismo - Suplemento
CJE0397 ; Laboratório de Produção Editorial  I
CJE0398 ; Laboratório de Produção Editorial  II
CJE0399 ; Laboratório de Produção Editorial III
CJE0574 ; Laboratório de Redação: Produção de Textos Acessíveis
CAC0647 ; Laboratório IA
CAC0648 ; Laboratório IB
CAC0649 ; Laboratório IC
CJE0330 ; Legislação da Indústria Editorial
CCA0306 ; Legislação e Ética no Âmbito da Educomunicação
CTR0673 ; Legislação e Mercado Audiovisual
CJE0502 ; Legislação em Jornalismo
CJE0657 ; Leitura e Produção Textual
CJE0658 ; Leituras Contemporâneas do Jornalismo
CCA0218 ; Língua Portuguesa - Redação e Expressão Oral I
CCA0220 ; Língua Portuguesa - Redação e Expressão Oral III
CRP0314 ; Língua Portuguesa IV (Linguagem Publicitária)
CCA0219 ; Língua Portuguesa-Redação e Expressão Oral II
CJE0464 ; Língua Portuguesa: Revisão de Texto I
CJE0609 ; Língua Portuguesa: Revisão de Texto II
CMU0310 ; Linguagem e Estruturação Musicais I
CMU0311 ; Linguagem e Estruturação Musicais II
CAP0209 ; Linguagem Gráfica
CCA0288 ; Linguagem Verbal nos Meios de Comunicação I
CCA0289 ; Linguagem Verbal nos Meios de Comunicação II
CCA0295 ; Linguagem Verbal nos Meios de Comunicação III
CBD0274 ; Linguagens Documentárias I
CBD0261 ; Linguagens Documentárias II
CBD0263 ; Lingüística Documentária
